단지명,지번주소,중심거리_m,POI수,lng,lat,pnu,필지지번,면적_m2,면적_평,도형,지구겹침_%,도로명주소
위례센트럴자이아파트,경기 성남시 수정구 창곡동 504,128,1,127.14045378840484,37.47337711751279,4113110800105040000,경기도 성남시 수정구 창곡동 504,68176,20623,MultiPolygon,100.0,
위례보미리즌빌아파트,경기 성남시 수정구 창곡동 507,160,1,127.14130744252064,37.47164526027425,4113110800105070000,경기도 성남시 수정구 창곡동 507,9109,2755,MultiPolygon,100.0,
위례35단지아파트,경기 성남시 수정구 창곡동 510,187,1,127.1439415260338,37.47287286005461,4113110800105100000,경기도 성남시 수정구 창곡동 510,76394,23109,MultiPolygon,100.0,
위례중앙푸르지오1단지아파트,서울 송파구 장지동 897,204,1,127.14152939247208,37.4748435783521,1171010900108970000,서울특별시 송파구 장지동 897,9493,2872,MultiPolygon,100.0,
송파꿈에그린위례24단지아파트,서울 송파구 장지동 901,228,1,127.14057179342603,37.4748158891578,1171010900109010000,서울특별시 송파구 장지동 901,82396,24925,MultiPolygon,100.0,
위례중앙푸르지오2단지아파트,서울 송파구 장지동 896,233,1,127.14280712651492,37.47497539036918,1171010900108960000,서울특별시 송파구 장지동 896,8625,2609,MultiPolygon,100.0,
위례아트리버푸르지오1단지아파트,경기 성남시 수정구 창곡동 530,254,2,127.14144585736663,37.47040890880427,4113110800105300000,경기도 성남시 수정구 창곡동 530,9652,2920,MultiPolygon,100.0,
위례아트리버푸르지오2단지아파트,경기 성남시 수정구 창곡동 529,263,1,127.14235358468623,37.47069524127733,4113110800105290000,경기도 성남시 수정구 창곡동 529,7026,2125,MultiPolygon,100.0,
위례신도시신안인스빌아스트로아파트,경기 하남시 학암동 663,267,1,127.1439394623976,37.474744259052045,4145011600106630000,경기도 하남시 학암동 663,42473,12848,MultiPolygon,100.0,
위례아이파크아파트,서울 송파구 장지동 894,368,9,127.1420497446803,37.476336526456976,1171010900108940000,서울특별시 송파구 장지동 894,21063,6372,MultiPolygon,100.0,서울 송파구 위례광장로 136
송파와이즈더샵아파트,서울 송파구 장지동 895,377,10,127.14317415293586,37.47625086499255,1171010900108950000,서울특별시 송파구 장지동 895,20538,6213,MultiPolygon,100.0,서울 송파구 위례광장로 270
위례자이아파트,경기 성남시 수정구 창곡동 531,396,1,127.13839706026656,37.47072967481327,4113110800105310000,경기도 성남시 수정구 창곡동 531,42016,12710,MultiPolygon,100.0,
래미안위례아파트,경기 성남시 수정구 창곡동 528,397,10,127.14452280769095,37.47016416486467,4113110800105280000,경기도 성남시 수정구 창곡동 528,31444,9512,MultiPolygon,100.0,경기 성남시 수정구 위례순환로 150
위례역푸르지오4단지아파트,경기 성남시 수정구 창곡동 565,570,1,127.14121112719648,37.46791969895193,4113110800105650000,경기도 성남시 수정구 창곡동 565,13854,4191,MultiPolygon,100.0,
위례심포니아아파트,서울 송파구 장지동 891,583,1,127.144704959987,37.4777481890926,1171010900108910000,서울특별시 송파구 장지동 891,2947,891,MultiPolygon,100.0,
위례센트로엘아파트,경기 하남시 학암동 662,612,1,127.14661642979796,37.477012411518274,4145011600106620000,경기도 하남시 학암동 662,41449,12538,MultiPolygon,100.0,
위례31단지아파트,경기 성남시 수정구 창곡동 500,622,1,127.13480932726247,37.473430544532754,4113110800105000000,경기도 성남시 수정구 창곡동 500,79716,24114,MultiPolygon,100.0,
