순위,단지명,지번주소,면적_m2,중심→역_m,경계→역_m,경계→역경계_m,도보_분,지수,중심기준_지수,경계보정,지수_d750,상대지수,×1.2,×1.35,×1.5,낙폭
1,위례센트럴자이아파트,경기 성남시 수정구 창곡동 504,68176,231.1,109.3,89.5,1.5,98.8,94.9,3.9,97.9,100.0,98.3,97.9,97.4,1.4
2,위례보미리즌빌아파트,경기 성남시 수정구 창곡동 507,9109,168.8,118.2,10.0,1.6,98.6,97.2,1.4,97.6,99.8,98.0,97.5,97.0,1.6
3,위례35단지아파트,경기 성남시 수정구 창곡동 510,76394,277.6,144.7,124.5,1.9,97.9,92.8,5.1,96.4,99.1,97.1,96.3,95.5,2.4
4,위례중앙푸르지오1단지아파트,서울 송파구 장지동 897,9493,199.4,147.1,39.0,2.0,97.9,96.2,1.7,96.3,99.1,97.0,96.2,95.4,2.5
5,위례중앙푸르지오2단지아파트,서울 송파구 장지동 896,8625,211.5,151.0,41.4,2.0,97.8,95.7,2.1,96.1,99.0,96.8,96.0,95.1,2.7
6,송파꿈에그린위례24단지아파트,서울 송파구 장지동 901,82396,388.4,196.0,106.5,2.6,96.3,86.9,9.4,93.6,97.5,94.8,93.5,92.0,4.3
7,위례신도시신안인스빌아스트로아파트,경기 하남시 학암동 663,42473,373.3,216.3,135.0,2.9,95.5,87.8,7.7,92.3,96.7,93.7,92.1,90.5,5.0
8,위례아트리버푸르지오1단지아파트,경기 성남시 수정구 창곡동 530,9652,295.0,241.2,133.1,3.2,94.5,92.0,2.5,90.6,95.6,92.3,90.4,88.4,6.1
9,위례아트리버푸르지오2단지아파트,경기 성남시 수정구 창곡동 529,7026,296.2,243.6,133.8,3.2,94.4,91.9,2.5,90.5,95.5,92.1,90.2,88.2,6.2
10,위례아이파크아파트,서울 송파구 장지동 894,21063,376.5,267.1,159.0,3.6,93.3,87.6,5.7,88.7,94.4,90.7,88.5,86.2,7.1
11,송파와이즈더샵아파트,서울 송파구 장지동 895,20538,395.1,269.3,159.6,3.6,93.2,86.5,6.7,88.6,94.3,90.5,88.3,86.0,7.2
