단지명,직선_m,경로_m,소요_초,소요_분,우회계수,T맵속도_kmh,횡단보도,육교,지하보도,계단,경사로,엘리베이터,계단제외_m,계단회피비용_m,지수_L1,지수_L2,지수차,순위_L1,순위_L2,순위변동
위례보미리즌빌아파트,118.2,138,114,1.9,1.168,4.36,0,0,0,0,0,0,138,0,98.6,98.1,-0.5,2,1,1
위례중앙푸르지오2단지아파트,150.9,150,124,2.1,0.994,4.35,0,0,0,0,0,0,150,0,97.8,97.8,0.0,5,2,3
위례중앙푸르지오1단지아파트,147.0,153,126,2.1,1.04,4.37,0,0,0,0,0,0,153,0,97.9,97.7,-0.2,4,3,1
위례아트리버푸르지오2단지아파트,243.6,254,236,3.9,1.043,3.87,1,0,0,0,0,0,254,0,94.4,93.9,-0.5,9,4,5
위례아트리버푸르지오1단지아파트,241.2,264,243,4.0,1.094,3.91,1,0,0,0,0,0,264,0,94.5,93.5,-1.0,8,5,3
송파와이즈더샵아파트,269.2,270,221,3.7,1.003,4.4,0,0,0,0,0,0,270,0,93.2,93.2,0.0,11,6,5
위례아이파크아파트,267.1,287,263,4.4,1.075,3.93,1,0,0,0,0,0,287,0,93.3,92.4,-0.9,10,7,3
래미안위례아파트,269.7,335,294,4.9,1.242,4.1,1,0,0,0,0,0,335,0,93.2,89.9,-3.3,12,8,4
위례35단지아파트,144.7,347,301,5.0,2.398,4.15,1,0,0,0,0,0,347,0,97.9,89.3,-8.6,3,9,-6
위례센트럴자이아파트,109.3,360,313,5.2,3.293,4.14,1,0,0,0,0,0,360,0,98.8,88.5,-10.3,1,10,-9
위례자이아파트,270.6,382,356,5.9,1.411,3.86,2,0,0,0,0,0,382,0,93.2,87.3,-5.9,13,11,2
위례신도시신안인스빌아스트로아파트,216.2,441,373,6.2,2.039,4.26,1,0,0,0,0,0,441,0,95.5,83.7,-11.8,7,12,-5
위례센트로엘아파트,354.8,445,376,6.3,1.254,4.26,1,0,0,0,0,0,445,0,88.8,83.5,-5.3,14,13,1
송파꿈에그린위례24단지아파트,196.0,460,387,6.5,2.347,4.28,1,0,0,0,0,0,460,0,96.3,82.5,-13.8,6,14,-8
위례역푸르지오4단지아파트,494.5,537,483,8.1,1.086,4.0,1,0,0,0,0,0,583,46,80.4,77.6,-2.8,17,15,2
위례심포니아아파트,548.7,636,541,9.0,1.159,4.23,2,0,0,0,0,0,636,0,76.9,71.2,-5.7,21,16,5
송파더센트레아파트,598.9,750,621,10.3,1.252,4.35,3,0,0,0,0,0,750,0,73.6,64.0,-9.6,24,17,7
힐스테이트송파위례아파트,596.1,752,624,10.4,1.261,4.34,2,0,0,0,0,0,752,0,73.8,63.9,-9.9,23,18,5
위례2차아이파크아파트,601.6,786,648,10.8,1.307,4.37,2,0,0,0,0,0,786,0,73.4,61.8,-11.6,25,19,6
위례자이더파크아파트,514.8,815,665,11.1,1.583,4.41,2,0,0,0,0,0,815,0,79.1,60.1,-19.0,19,20,-1
위례역푸르지오5단지아파트,657.6,841,659,11.0,1.279,4.59,1,0,0,0,0,0,841,0,69.8,58.6,-11.2,27,21,6
위례포레샤인23단지아파트,480.4,852,719,12.0,1.773,4.27,3,0,0,0,0,0,852,0,81.2,57.9,-23.3,16,22,-6
위례스타힐스아파트,743.7,856,696,11.6,1.151,4.43,3,0,0,0,0,0,856,0,64.4,57.7,-6.7,29,23,6
플로리체위례아파트,522.8,863,695,11.6,1.651,4.47,3,0,0,0,0,0,863,0,78.5,57.3,-21.2,20,24,-4
위례31단지아파트,450.5,884,715,11.9,1.962,4.45,2,0,0,0,0,0,884,0,83.1,56.1,-27.0,15,25,-10
위례래미안이편한세상아파트,606.8,899,726,12.1,1.482,4.46,2,0,0,0,0,0,899,0,73.1,55.3,-17.8,26,26,0
위례자이더시티아파트,502.7,907,729,12.2,1.804,4.48,2,0,0,0,0,0,907,0,79.8,54.9,-24.9,18,27,-9
위례송파푸르지오아파트,767.5,918,741,12.3,1.196,4.46,3,0,0,0,0,0,918,0,62.9,54.3,-8.6,31,28,3
위례역푸르지오6단지아파트,669.7,923,725,12.1,1.378,4.58,1,0,0,0,0,0,923,0,69.0,54.0,-15.0,28,29,-1
위례더힐55아파트,843.0,994,819,13.7,1.179,4.37,3,0,0,0,0,0,994,0,58.5,50.3,-8.2,35,30,5
성남위례LH36단지아파트,570.6,1092,889,14.8,1.914,4.42,2,0,0,0,0,0,1092,0,75.4,45.6,-29.8,22,31,-9
위례롯데캐슬아파트,784.8,1113,933,15.6,1.418,4.29,4,0,0,0,0,0,1113,0,61.9,44.7,-17.2,33,32,1
힐스테이트위례아파트,749.4,1150,907,15.1,1.535,4.56,2,0,0,0,0,0,1150,0,64.0,43.1,-20.9,30,33,-3
위례호반써밋에비뉴아파트,770.4,1191,990,16.5,1.546,4.33,4,0,0,0,0,0,1191,0,62.8,41.3,-21.5,32,34,-2
위례센트럴푸르지오아파트,832.3,1237,1001,16.7,1.486,4.45,3,0,0,0,0,0,1237,0,59.1,39.5,-19.6,34,35,-1
송파레이크파크호반써밋2차아파트,1086.1,1284,1056,17.6,1.182,4.38,3,0,0,0,0,0,1284,0,45.9,37.8,-8.1,39,36,3
위례지웰푸르지오 키즈스테이션,1042.8,1334,1065,17.8,1.279,4.51,4,0,0,0,0,0,1334,0,47.9,36.0,-11.9,38,37,1
e편한세상테라스위례아파트,1031.4,1359,1146,19.1,1.318,4.27,5,0,0,0,0,0,1359,0,48.5,35.1,-13.4,36,38,-2
위례포레스트사랑으로부영아파트,1179.3,1585,1248,20.8,1.344,4.57,3,0,0,0,0,0,1585,0,41.8,28.5,-13.3,42,39,3
위례그린파크푸르지오아파트,1124.2,1656,1296,21.6,1.473,4.6,4,0,0,0,0,0,1656,0,44.2,26.7,-17.5,40,40,0
송파레이크파크호반써밋1차아파트,1151.7,1721,1343,22.4,1.494,4.61,4,0,0,0,0,0,1721,0,43.0,25.2,-17.8,41,41,0
위례포레샤인13단지아파트,1032.2,1769,1393,23.2,1.714,4.57,4,0,0,0,0,0,1769,0,48.4,24.2,-24.2,37,42,-5
포레나송파아파트,1367.5,1801,1399,23.3,1.317,4.63,4,0,0,0,0,0,1801,0,34.8,23.6,-11.2,45,43,2
